Sciezka,Gatunek
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/I Was Made For Lovin' You_fragment_1.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/I Was Made For Lovin' You_fragment_2.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/I Was Made For Lovin' You_fragment_3.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/I Was Made For Lovin' You_fragment_4.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/I Was Made For Lovin' You_fragment_5.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Another One Bites the Dust_fragment_1.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Another One Bites the Dust_fragment_2.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Another One Bites the Dust_fragment_3.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Another One Bites the Dust_fragment_4.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Another One Bites the Dust_fragment_5.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/We Will Rock You_fragment_1.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/We Will Rock You_fragment_2.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/We Will Rock You_fragment_3.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/We Will Rock You_fragment_4.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Thunderstruck (Official Video)_fragment_1.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Thunderstruck (Official Video)_fragment_2.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Thunderstruck (Official Video)_fragment_3.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Thunderstruck (Official Video)_fragment_4.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Thunderstruck (Official Video)_fragment_5.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Back In Black (Official Video)_fragment_1.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Back In Black (Official Video)_fragment_2.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Back In Black (Official Video)_fragment_3.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Back In Black (Official Video)_fragment_4.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Back In Black (Official Video)_fragment_5.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Highway to Hell_fragment_1.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Highway to Hell_fragment_2.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Highway to Hell_fragment_3.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Highway to Hell_fragment_4.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Highway to Hell_fragment_5.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/I Love Rock 'N Roll_fragment_1.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/I Love Rock 'N Roll_fragment_2.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/I Love Rock 'N Roll_fragment_3.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/I Love Rock 'N Roll_fragment_4.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/I Love Rock 'N Roll_fragment_5.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Smells Like Teen Spirit_fragment_1.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Smells Like Teen Spirit_fragment_2.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Smells Like Teen Spirit_fragment_3.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Smells Like Teen Spirit_fragment_4.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Smells Like Teen Spirit_fragment_5.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Enter Sandman_fragment_1.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Enter Sandman_fragment_2.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Enter Sandman_fragment_3.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Enter Sandman_fragment_4.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Enter Sandman_fragment_5.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Sweet Child O' Mine Version 2 Black And White_fragment_1.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Sweet Child O' Mine Version 2 Black And White_fragment_2.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Sweet Child O' Mine Version 2 Black And White_fragment_3.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Sweet Child O' Mine Version 2 Black And White_fragment_4.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Sweet Child O' Mine Version 2 Black And White_fragment_5.wav,rock
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Bad Habits_fragment_1.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Bad Habits_fragment_2.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Bad Habits_fragment_3.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Bad Habits_fragment_4.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Bad Habits_fragment_5.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Shape of You_fragment_1.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Shape of You_fragment_2.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Shape of You_fragment_3.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Shape of You_fragment_4.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Shape of You_fragment_5.wav,pop
